No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	9	CPG151101D13	SW1,SW2,SW3,SW4,SW5,SW8,SW9,SW12,SW13	KEY-TH_CPG1511F01S0X		CPG151101D13	HanElectricity(瀚源)	C49234235	LCSC
2	1	KB2040	U1	KB2040_SMD					
